date,ticker_symbol,close_price,dividend,trading_volume,daily_return,dividend_return,total_return
2012-03-02,BOND,69.96632385253906,0.0,331600,0.35015106755096337,0.0,0.35015106755096337
2012-03-05,BOND,69.95938873291016,0.0,237800,-0.009912082337670824,0.0,-0.009912082337670824
2012-03-06,BOND,70.2732162475586,0.0,176500,0.44858527258802017,0.0,0.44858527258802017
2012-03-07,BOND,70.37083435058594,0.0,182600,0.1389122460020209,0.0,0.1389122460020209
2012-03-08,BOND,70.81727600097656,0.0,323000,0.6344128991941034,0.0,0.6344128991941034
2012-03-09,BOND,70.65681457519531,0.0,243700,-0.22658514255622375,0.0,-0.22658514255622375
2012-03-12,BOND,70.69869995117188,0.0,119300,0.05928002306414548,0.0,0.05928002306414548
2012-03-13,BOND,70.6010513305664,0.0,152000,-0.1381194006012998,0.0,-0.1381194006012998
2012-03-14,BOND,70.13371276855469,0.0,183900,-0.6619427801769717,0.0,-0.6619427801769717
2012-03-15,BOND,70.08486938476562,0.0,200800,-0.06964323128058059,0.0,-0.06964323128058059
2012-03-16,BOND,70.3150863647461,0.0,211400,0.32848314051436844,0.0,0.32848314051436844
2012-03-19,BOND,70.34294128417969,0.0,137200,0.039614428245315914,0.0,0.039614428245315914
2012-03-20,BOND,70.2941665649414,0.0,116500,-0.06933846999833682,0.0,-0.06933846999833682
2012-03-21,BOND,70.37083435058594,0.0,212800,0.10906706685782641,0.0,0.10906706685782641
2012-03-22,BOND,70.39875793457031,0.0,101000,0.03968062087378321,0.0,0.03968062087378321
2012-03-23,BOND,70.63589477539062,0.0,36500,0.336848046439564,0.0,0.336848046439564
2012-03-26,BOND,70.677734375,0.0,74700,0.05923277356705281,0.0,0.05923277356705281
2012-03-27,BOND,70.85212707519531,0.0,117900,0.24674347832094323,0.0,0.24674347832094323
2012-03-28,BOND,70.86608123779297,0.0,193800,0.019694768772215987,0.0,0.019694768772215987
2012-03-29,BOND,70.97769927978516,0.0,186300,0.1575055937094172,0.0,0.1575055937094172
2012-03-30,BOND,70.9637222290039,0.12,241400,-0.01969217222180797,0.16910048716547488,0.1494083149436669
2012-04-02,BOND,71.01957702636719,0.0,186900,0.07870894537216344,0.0,0.07870894537216344
