date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,conservative_portfolio_value,conservative_portfolio_return
2020-03-03,630000.0,310000.0,20000.0,0.0,40000.0,1000000.0,
2020-03-04,628984.9156920312,323030.13749610004,20690.82840018867,0.0,41673.302262053636,1014379.1838503735,0.014379183850373511
2020-03-05,630563.9779532107,312292.1425039948,19992.405386776376,0.0,40269.00650167828,1003117.5323456601,-0.011102013609907146
2020-03-06,634624.3626899677,307129.6166327826,19719.108927073554,0.0,39676.27349915429,1001149.3617489781,-0.001962053830401822
2020-03-09,638290.2668907188,283144.45165320253,18018.599440105874,0.0,36856.24848434879,976309.566468376,-0.02481127814655726
2020-03-10,630394.7180604134,297795.6821623342,18656.291724767423,0.0,38862.40322822157,985709.0951757366,0.009627610985480484
2020-03-11,621145.7551560705,283278.7016559516,17585.876637107882,0.0,37075.117715016575,959085.4511641465,-0.027009636151164362
2020-03-12,595147.2361019002,256175.35728092832,15593.08906557299,0.0,33669.20687491763,900584.8893233191,-0.06099619358193675
2020-03-13,607046.7338697363,278074.85138135403,16564.81344688278,0.0,36635.11839327469,938321.5170912478,0.04190235503094364
2020-03-16,597233.8880219457,247646.82256558334,14613.77988742892,0.0,32600.02086810042,892094.5113430584,-0.0492656353991443
2020-03-17,588830.797037656,261017.81537112777,15224.900842197125,0.0,34175.30585987205,899248.8191108529,0.008019674683373612
2020-03-18,569712.6474960592,247801.7431251411,14101.34473081579,0.0,32415.3588142469,864031.094166263,-0.03916349312464151
2020-03-19,568866.7280711246,248328.31595145797,14446.760566975017,0.0,32759.598137445777,864401.4027270033,0.0004285824471370603
2020-03-20,577495.2772230306,239166.52387288408,14249.382426405304,0.0,31378.083237164527,862289.2667594845,-0.0024434666126817994
2020-03-23,587984.8776127214,231551.09277369795,14280.764480769449,0.0,30771.677412183293,864588.412279372,0.002666327424586612
2020-03-24,586123.8263749364,252530.38782615407,15459.054449384816,0.0,33596.25285713991,887709.5215076151,0.026742330685750604
2020-03-25,593624.609639947,256310.82713060308,16043.640067687278,0.0,33897.180554554965,899876.2573927921,0.013705762516227127
2020-03-26,598305.3606242593,271276.76143632096,16830.72961786269,0.0,35973.55371817783,922386.4053966209,0.025014714877629185
2020-03-27,601745.4266183424,263196.5956621963,16272.890388396898,0.0,34682.17281963116,915897.0854885668,-0.007035359443815392
2020-03-30,602478.7594741135,271744.0964907004,16544.169580089223,0.0,35944.76287387297,926711.7884187761,0.01180777087465068
2020-03-31,598756.5619887805,267693.61983942223,16536.52752098376,0.0,35379.79539033889,918366.5047395253,-0.009005263323012436
2020-04-01,601857.0231857754,255646.11081751413,15810.569535457373,0.0,33922.79646182524,907236.5000005722,-0.012119349607714436
2020-04-02,602205.8439298753,261545.27383973313,16112.413691441761,0.0,34474.03370422509,914337.5651652752,0.00782713786834921
2020-04-03,600905.3027889513,257764.81782505228,15776.18272358013,0.0,34018.861497089725,908465.1648346735,-0.0064225736252455645
2020-04-06,605089.4852469066,275077.8712975786,16555.63348677986,0.0,36431.95317076252,933154.9432020277,0.027177462959570242
2020-04-07,607747.1933475069,275358.3358290873,16654.97207482641,0.0,36413.65455614062,936174.1558075612,0.003235489055197327
2020-04-08,609726.2942158283,284601.6841326322,16907.15020891731,0.0,37541.29277612933,948776.4213335072,0.013461454204613199
2020-04-09,614871.8804656534,288932.57518472354,17331.25749419974,0.0,37838.638983567405,958974.352128144,0.010748507831068954
2020-04-13,614645.6622199332,286294.5643017268,17094.36511438466,0.0,37724.26815634639,955758.8597923912,-0.0033530535291346197
2020-04-14,612214.4098894607,294738.24445969565,17384.748635808195,0.0,39256.751113092454,963594.154098057,0.008197982394186454
2020-04-15,617020.6687707056,288475.5503434007,16674.07804062251,0.0,38723.819662649126,960894.116817378,-0.0028020482162496307
2020-04-16,617133.6828838027,289867.3121344098,16723.747334645785,0.0,39160.686077827966,962885.4284306862,0.0020723527998107727
2020-04-17,616568.2797841468,297698.1946696732,17289.226987152146,0.0,39819.42902688172,971375.1304678539,0.008816938948805308
2020-04-20,617190.3562074365,292453.35419632733,17040.873972776208,0.0,39361.97083866886,966046.555215209,-0.005485599832145582
2020-04-21,616398.7348620605,283573.50356639473,16693.179098223936,0.0,37898.10320092078,954563.5207276,-0.011886626400785527
2020-04-22,616285.4357196745,289867.3121344098,16960.638078395976,0.0,38970.8455770438,962084.231509524,0.007878690750922068
2020-04-23,618490.6123190714,289846.49118551443,16857.47600669936,0.0,38995.99854623087,964190.578057516,0.002189357728779262
2020-04-24,619452.2061304672,293886.62420327234,17094.36511438466,0.0,39618.15144337545,970051.3468914996,0.006078434043393033
2020-04-27,616455.1706612868,298123.97137742117,17319.796859638886,0.0,40027.564553620476,971926.5034519674,0.0019330487674458219
2020-04-28,618038.4608569202,296753.06395577115,17403.8529655394,0.0,39526.65119293133,971722.0289711622,-0.00021038059984890278
2020-04-29,619734.7651656506,304521.65074666706,17931.127230713126,0.0,40642.85591886526,982830.3990618961,0.011431633491416626
2020-04-30,619452.2061304672,301686.358866352,17602.535049827176,0.0,40674.87400861944,979415.9740552659,-0.0034740734615954505
2020-05-01,621524.4982749318,293699.6032883149,17235.735845543695,0.0,39574.68909356454,972034.5265023549,-0.007536580726111852
2020-05-04,620925.7600498274,294509.71532880235,17228.097058568015,0.0,39881.18640264722,972544.758839845,0.0005249117429253491
2020-05-05,620245.5851564589,297230.8763255257,17166.9638578541,0.0,40372.94866169176,975016.3740015305,0.0025413896267703073
2020-05-06,617695.0005636492,295215.9899885228,17056.15972705202,0.0,40469.01728562356,970436.1675648476,-0.004697568737113023
2020-05-07,618374.9854374917,298778.2772160624,17354.183671516126,0.0,40988.229260934604,975495.6755860049,0.005213643297995896
2020-05-08,617921.6938581844,303721.8990499317,17648.384132330164,0.0,41557.772295290975,980849.7493357372,0.005488567385515175
2020-05-11,615654.5708933066,303784.1947942992,17552.867391868793,0.0,41894.00889038496,978885.6419698596,-0.0020024548787495045
2020-05-12,616844.8532042608,297729.342541857,17331.25749419974,0.0,41033.97759182301,972939.4308321405,-0.0060744696650706365
2020-05-13,617184.9406509451,292463.74796054314,17113.47271624565,0.0,40475.88240619066,967238.0437339245,-0.005859960977570466
2020-05-14,619622.0360818426,295963.77286417905,16960.638078395976,0.0,40841.85110996134,973388.2981343789,0.006358573714400073
2020-05-15,619962.2185382899,297324.3199420769,16991.201406623153,0.0,41182.6524898757,975460.3923768656,0.0021287437361412476
2020-05-18,618431.8487806515,306380.6640408963,17759.191535262027,0.0,42125.01858256792,984696.7229393777,0.009468688462077157
2020-05-19,620132.3335189542,303233.8600182799,17495.55276661027,0.0,41926.0126254699,982787.7589293143,-0.0019386314238610813
2020-05-20,621209.2216777593,308385.19003414706,17904.380841876457,0.0,42607.62973996786,990106.4222937507,0.007446840172703695
2020-05-21,621492.4457812838,306256.10597262497,17743.9074170511,0.0,42266.82477138619,987759.2839423461,-0.002370591987442161
2020-05-22,622002.6482086324,306837.65546175546,17720.979603669824,0.0,42442.94938570539,989004.2326597631,0.0012603766298688868
2020-05-26,620812.4134025598,310618.04463550885,18198.582938755386,0.0,42564.17815615889,992193.2191329829,0.0032244416837767798
2020-05-27,622852.8430729023,315239.760562861,18420.192836424434,0.0,42920.99575828495,999433.7922304727,0.007297543419835906
2020-05-28,622002.6482086324,314658.17765326676,18611.234497671634,0.0,43012.488831394454,998284.5491909652,-0.0011498941184914235
2020-05-29,623986.5470699857,316060.2329471006,18630.337191337952,0.0,43392.18418763203,1002069.3013960563,0.0037912559181230154
