date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,growth_portfolio_value,growth_portfolio_return
2020-03-03,170000.0,360000.0,150000.0,80000.0,240000.0,1000000.0,
2020-03-04,169726.08836134174,375131.7725761162,155181.21300141505,81212.60436141086,250039.81357232184,1031291.4918726056,0.031291491872605715
2020-03-05,170152.18452705687,362661.84290786495,149943.04040082282,79585.16705840669,241614.0390100697,1003956.273904221,-0.0265058115807294
2020-03-06,171247.84390046747,356666.65157355403,147893.31695305163,77957.71653489956,238057.64099492572,991823.1699568984,-0.012085291225024108
2020-03-09,172237.0561451146,328812.91159726743,135139.49580079404,72213.79800757105,221137.49090609275,929540.7524568399,-0.06279588881026554
2020-03-10,170106.51122265123,345827.2438014203,139922.18793575565,75915.42645954766,233174.4193693294,964945.7887887042,0.038088740314274894
2020-03-11,167610.75932782856,328968.81482626643,131894.07477830912,72596.72987554384,222450.70629009945,923521.0850980474,-0.04292956575587237
2020-03-12,160595.2859322588,297493.9632939813,116948.16799179743,65225.37404521114,202015.24124950578,842278.0325127544,-0.08797097748631
2020-03-13,163806.26152040507,322925.63386221754,124236.10085162085,69916.23324074023,219810.71035964816,900694.939834632,0.06935584814862539
2020-03-16,161158.3507360806,287589.8584632581,109603.34915571689,61683.28401259451,195600.12520860252,815634.9675762525,-0.09443815935503808
2020-03-17,158890.84999428812,303117.46301163227,114186.75631647842,65416.82675869458,205051.83515923232,846663.7312403258,0.03804246372158193
2020-03-18,153731.98424496836,287769.76620984124,105760.08548111843,60183.49066558126,194492.15288548142,801937.4794869907,-0.052826464749840096
2020-03-19,153503.7202731606,288381.27013717697,108350.70425231261,60311.12801132071,196557.5888246747,807104.4114986457,0.006443060891679897
2020-03-20,155832.0589331987,277741.76965883316,106870.36819803977,60853.611519156424,188268.49942298717,789566.3077322152,-0.02172965915756231
2020-03-23,158662.58602248036,268898.0432210686,107105.73360577086,59609.09286362208,184630.06447309977,778905.5201860417,-0.013502080118886095
2020-03-24,158160.39759323682,293261.0955400499,115942.90837038611,63534.094933457076,201577.51714283947,832476.0135799694,0.06877662566973775
2020-03-25,160184.4184742714,297651.28311941004,120327.30050765458,65704.02235454843,203383.0833273298,847250.1077832143,0.017747171044256937
2020-03-26,161447.47826368906,315031.0777970179,126230.47213397015,68416.4332834755,215841.32230906698,886966.7837872196,0.046877156626066174
2020-03-27,162375.75003987018,305647.6594786796,122046.67791297672,64619.068559379964,208093.03691778696,862782.1929086935,-0.0272666252227185
2020-03-30,162573.63350888775,315573.7894730714,124081.27185066916,65608.29269268097,215668.5772432378,883505.5647685472,0.02401923918942872
2020-03-31,161569.23101284556,310870.0101361032,124023.9564073782,66023.13224452575,212278.77234203336,874765.102142886,-0.009892934435507428
2020-04-01,162405.86339933623,296879.3544977583,118579.27151593028,63406.45097746614,203536.77877095144,844807.7191614425,-0.03424620267550438
