date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,balanced_portfolio_value,balanced_portfolio_return
2020-03-03,330000.0,420000.0,80000.0,50000.00000000001,120000.0,1000000.0,
2020-03-04,329468.2891720163,437653.73467213556,82763.31360075469,50757.8777258818,125019.90678616092,1025663.1219569492,0.025663121956949198
2020-03-05,330295.4170231104,423105.48339250917,79969.6215471055,49740.72941150419,120807.01950503486,1003918.2708792642,-0.021200773053238198
2020-03-06,332422.2852185545,416111.0935024797,78876.43570829422,48723.57283431223,119028.82049746286,995162.2077611034,-0.008721888396843291
2020-03-09,334342.5207522813,383615.0635301454,72074.3977604235,45133.62375473191,110568.74545304637,945734.3512506285,-0.04966814065586023
2020-03-10,330206.75707926415,403465.11776832375,74625.16689906969,47447.14153721729,116587.2096846647,972331.3929685396,0.028123163426113873
2020-03-11,325362.0622246084,383796.95063064416,70343.50654843153,45372.9561722149,111225.35314504972,936100.8287209487,-0.03726153913119945
2020-03-12,311743.7903390906,347076.29050964484,62372.35626229196,40765.85877825697,101007.62062475289,862965.9165140374,-0.07812717387168633
2020-03-13,317976.86059843336,376746.5728392538,66259.25378753112,43697.64577546265,109905.35517982408,914585.688180505,0.05981669806263756
2020-03-16,312836.79848768585,335521.5015404678,58455.11954971568,38552.05250787157,97800.06260430126,843165.5346900421,-0.07809017177225619
2020-03-17,308435.1794006769,353637.0401802377,60899.6033687885,40885.51672418412,102525.91757961616,866383.2572535034,0.027536375252810164
2020-03-18,298420.9105931739,335731.3939114815,56405.37892326316,37614.68166598829,97246.07644274071,825418.4415366475,-0.047282556967591094
2020-03-19,297977.80994201766,336444.8151600398,57787.04226790007,37694.45500707545,98278.79441233735,828182.9167893704,0.0033491803836807055
2020-03-20,302497.52616444457,324032.064601972,56997.529705621215,38033.50719947277,94134.24971149358,815694.8773830042,-0.015078842068825482
2020-03-23,307992.0787495207,313714.38375791337,57123.057923077795,37255.683039763804,92315.03223654989,808400.2357068256,-0.008942855813416362
2020-03-24,307017.2423868715,342137.9447967249,61836.21779753926,39708.809333410674,100788.75857141973,851488.9728859662,0.05330124272102155
2020-03-25,310946.22409711505,347259.83030597836,64174.56027074911,41065.01397159278,101691.5416636649,865137.1703091002,0.016028624982512563
