date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,balanced_portfolio_value,balanced_portfolio_return
2020-03-03,330000.0,420000.0,80000.0,50000.0,119999.99999999999,1000000.0,
2020-03-04,329468.1648747779,437653.8743166053,82763.34700020475,50757.881982533734,125019.93953453904,1025663.2077086606,0.025663207708660707
2020-03-05,330295.2676552606,423105.52934144856,79969.63462817267,49740.72936865808,120807.00881143507,1003918.169804975,-0.021200953432135017
2020-03-06,332422.2846706005,416111.09266396944,78876.4616096052,48723.58088619029,119028.83117633473,995162.2510067002,-0.008721745518338153
2020-03-09,334342.4451194325,383615.10096432077,72074.39581540308,45133.627081940365,110568.78767091702,945734.3566520137,-0.04966817652567257
2020-03-10,330206.7072654854,403465.2500411827,74625.17866855534,47447.16177238058,116587.24167648914,972331.5394240932,0.028123312413261603
2020-03-11,325362.03839026956,383797.033383385,70343.52381141696,45372.9636703824,111225.35235781744,936100.9116132713,-0.03726159889072511
2020-03-12,311743.67005137616,347076.36534482596,62372.37811334022,40765.86138366468,101007.62968682234,862965.9045800293,-0.0781272682527373
2020-03-13,317976.73890071316,376746.63143214694,66259.25695967859,43697.657128182385,109905.35427416595,914585.638694887,0.05981665537525371
2020-03-16,312836.7774867329,335521.6644429476,58455.127350913346,38552.05887884167,97800.03908059052,843165.667240026,-0.07808997696134523
2020-03-17,308435.10962842294,353637.116430021,60899.59868136409,40885.52761218177,102525.92677790219,866383.279129892,0.02753623966434171
2020-03-18,298420.8182027807,335731.42102117435,56405.39930995674,37614.67961923623,97246.07440133397,825418.3925544819,-0.04728263756030837
2020-03-19,297977.71765185986,336444.8877029054,57787.062993667365,37694.4571049143,98278.79246358263,828182.9179169295,0.0033492412907010216
2020-03-20,302497.4328518652,324032.1571081245,56997.53714911205,38033.50935334213,94134.25815690694,815694.8946193509,-0.015078822597535346
2020-03-23,307992.0588445096,313714.4740394094,57123.05885311332,37255.689196500665,92315.05128475197,808400.3322182851,-0.00894275843723391
2020-03-24,307017.1729353742,342137.9959274461,61836.22642849155,39708.82002695,100788.78914585941,851489.0044641213,0.05330115603441077
2020-03-25,310946.15375682845,347259.8599013859,64174.57601981471,41065.02488925348,101691.5400210906,865137.1545883731,0.016028568839642432
2020-03-26,313398.0249133639,367536.33667653037,67322.92190463195,42760.27373716909,107920.68160282097,898938.2388345164,0.03907020299252495
2020-03-27,315199.93895247084,356589.0582240664,65091.57098343312,40386.92452380567,104046.5385596057,881314.0312433818,-0.019605582263342747
2020-03-30,315583.9909490402,368169.4551557653,66176.6880165007,41005.19384069886,107834.28753015153,898769.6154921566,0.019806316057566997
2020-03-31,313634.29378128063,362681.80197141966,66146.11322831594,41264.47273485649,106139.41722549697,889866.0989413697,-0.009906339063221914
2020-04-01,315258.4440511008,346359.3215946265,63242.28711784275,39629.0466726798,101768.39851579884,866257.4979520487,-0.026530509497335597
2020-04-02,315441.08498711867,354351.69245577074,64449.6771266047,40845.6430007506,103422.11039136394,878510.2079616087,0.014144420150506098
2020-04-03,314759.8493055014,349229.8511215048,63104.752925100685,40067.81458109342,102056.58288144531,869218.8508146456,-0.010576265435232157
2020-04-06,316951.58831404307,372686.3417650666,66222.53711025551,42022.34232316665,109295.85855194749,907178.6680644795,0.043671185011987745
2020-04-07,318343.72081372375,373066.144933586,66619.89155995635,42281.61708591643,109240.9627031567,909552.3370963393,0.002616539735137424
2020-04-08,319380.3426956134,385589.5522001882,67628.60434386788,42760.27373716909,112623.87766662677,927982.6506434653,0.020263059964161112
2020-04-09,322075.74870315474,391457.1217514224,69325.04698984028,42740.33969426921,113515.92713497463,939114.1842736613,0.011995411360845365
2020-04-13,321957.2036913848,387883.13227865513,68377.49687082061,42859.99765997059,113172.81462252868,934250.6451233597,-0.005178858153509047
2020-04-14,320683.6410869778,399322.8689167196,69539.01160878308,43737.54173961356,117770.27467123767,951053.3380233316,0.01798520877419696
2020-04-15,323201.2046933606,390837.9719509534,66696.31544189592,42760.27373716909,116171.46941046623,939667.2352338454,-0.011972096973184576
2020-04-16,323260.50208274927,392723.539827283,66895.00575526868,42959.71331995639,117482.07953958829,943320.8405248458,0.003888190578541506
2020-04-17,322964.2888543469,403333.17018393765,69156.93146465227,43717.59117108226,119458.30856405027,958630.2902380694,0.016229313564943393
2020-04-20,323290.0388016768,396227.21047307004,68163.51916335548,43238.9345198296,118085.92311028387,949005.6260682158,-0.010040016748754432
2020-04-21,322875.4049790232,384196.4877888068,66772.73932383549,42082.16924031342,113694.34133504536,929621.1426670244,-0.02042609956012842
2020-04-22,322816.1822401457,392723.539827283,67842.56896281068,43199.041645582714,116912.54722013729,943493.8798959595,0.014923000986331925
2020-04-23,323971.2495997903,392695.330793665,67429.92711901745,42979.65975707983,116988.03843247714,944064.2057020298,0.0006044827827957899
2020-04-24,324474.8170647751,398169.10585794016,68377.49687082061,42899.87813999391,118854.47575935758,952775.7736928874,0.00922772830305485
2020-04-27,322905.01634846197,403909.9837943058,69279.19135182431,43757.488176737,120082.74749829492,959934.427169624,0.007513471348027823
2020-04-28,323734.3835277841,402052.76078963734,69615.43549072265,43837.26153100721,118579.97498339791,957819.8163225491,-0.002202870099481502
2020-04-29,324622.92367897625,412577.8093247858,71724.53961327179,45113.68477622477,121928.57869562338,975967.536088882,0.01894690364207463
2020-04-30,324474.8170647751,408736.44530384167,70410.16402290786,44196.26021655848,122024.6222075007,969842.3088155838,-0.006276056371551597
2020-05-01,325560.3778311206,397915.8131868985,68942.97993423181,42700.44268861447,118724.07793222406,953843.6915730895,-0.016496101579681177
2020-05-04,325246.6286999696,399013.2487371374,68912.3920575247,43218.98808270616,119643.59147397165,956034.8490513095,0.0022971871571602076
2020-05-05,324890.52087808907,402699.9385063335,68667.8591946583,43418.431796901314,121118.84608545442,960795.5964614366,0.0049796797834840145
2020-05-06,323554.42602880846,399970.0466334158,68224.64910694149,43258.88095695304,121407.0627491096,956415.0654752284,-0.004559274628590626
