date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,growth_portfolio_value,growth_portfolio_return
2020-03-03,170000.0,360000.0,150000.0,80000.0,239999.99999999997,1000000.0,
2020-03-04,169726.02432943106,375131.8922713759,155181.27562538392,81212.61117205398,250039.87906907807,1031291.682467323,0.031291682467323056
2020-03-05,170152.10757998275,362661.88229267014,149943.06492782375,79585.16698985294,241614.01762287013,1003956.2394131997,-0.02650602493828358
2020-03-06,171247.84361818814,356666.6508548309,147893.36551800976,77957.72941790447,238057.66235266946,991823.2517616027,-0.012085175802770687
2020-03-09,172237.01718273797,328812.9436837035,135139.49215388077,72213.80333110459,221137.57534183405,929540.8316932609,-0.0627958862203728
2020-03-10,170106.48556100766,345827.35717815656,139922.21000354126,75915.45883580894,233174.48335297828,964945.9949314926,0.03808887359336044
2020-03-11,167610.7470495328,328968.8857571871,131894.1071464068,72596.74187261185,222450.70471563487,923521.1865413734,-0.04292966508769258
2020-03-12,160595.22396586044,297494.0274384222,116948.20896251292,65225.378213863485,202015.2593736447,842278.0979543037,-0.08797100680638259
2020-03-13,163806.19882764012,322925.6840846974,124236.10679939737,69916.25140509181,219810.7085483319,900694.9496651586,0.06935577673542248
2020-03-16,161158.3399174079,287589.99809395504,109603.36378296252,61683.29420614668,195600.07816118104,815635.0741616533,-0.09443805090183655
2020-03-17,158890.81405100576,303117.5283685894,114186.74752755767,65416.844179490836,205051.85355580438,846663.787682448,0.038042397272686435
2020-03-18,153731.9366499173,287769.78944672085,105760.12370616889,60183.48739077798,194492.14880266794,801937.485996253,-0.05282652020422807
2020-03-19,153503.672729746,288381.33231677604,108350.7431131263,60311.13136786287,196557.58492716527,807104.4644546765,0.006443118757573085
2020-03-20,155832.01086308208,277741.848949821,106870.3821545851,60853.614965347406,188268.5163138139,789566.3732466495,-0.021729642172003905
2020-03-23,158662.57576838374,268898.12060520804,107105.73534958747,59609.102714401066,184630.10256950394,778905.6370070843,-0.013502014017806818
2020-03-24,158160.3618151928,293261.1393663823,115942.92455342166,63534.11204312,201577.57829171882,832476.1160698356,0.06877659695543326
2020-03-25,160184.38223836618,297651.30848690215,120327.33003715258,65704.03982280557,203383.0800421812,847250.1406274077,0.017747085198457135
2020-03-26,161447.46737961174,315031.14572274033,126230.47857118491,68416.43797947055,215841.36320564194,886966.8928586495,0.04687724477901023
2020-03-27,162375.72612703044,305647.76419205684,122046.6955939371,64619.07923808907,208093.0771192114,862782.3422703248,-0.027266576445011514
2020-03-30,162573.57109496012,315573.81870494166,124081.2900309388,65608.31014511819,215668.57506030306,883505.5650362618,0.024019062225364873
2020-03-31,161569.18164490216,310870.1159755026,124023.96230309238,66023.15637577038,212278.83445099395,874765.2507502614,-0.009892766533555086
2020-04-01,162405.86511723374,296879.41850967985,118579.28834595517,63406.474676287675,203536.79703159767,844807.8436807541,-0.034246224394274494
2020-04-02,162499.95287215203,303730.0221049463,120843.14461238383,65353.028801200955,206844.22078272788,859270.369173411,0.017119307782045512
2020-04-03,162149.01327859165,299339.8723898612,118321.41173456378,64108.50332974948,204113.16576289063,848031.9664956566,-0.013079006423281414
